label,source,age,n_interests,n_projects,interests,subject_1_name,subject_1_score,subject_2_name,subject_2_score,subject_3_name,subject_3_score,subject_4_name,subject_4_score,subject_5_name,subject_5_score,project_title,project_skills,archetype,base_ability
DWM,synthetic,19,2,2,Artificial Intelligence & Machine Learning|Web Development,Design & Analysis of Algorithms,48.1,Automata Theory,40.1,Python,37.6,Digital Logic & Design,34.7,Data Structures and Algorithms,34.3,Crime Data Analysis,mongodb|data warehouse|mysql|sql|data visualization|hadoop|analytics|bluetooth,failing,19.2
WT,synthetic,22,2,3,Network & Wireless Systems|Mobile & IoT Development,Computer Networks,69.4,IoT,62.9,C++,61.9,Microcontroller & Embedded Systems,58.5,Operating Systems,54.7,GPS Tracker,embedded|zigbee|raspberry pi|sensor|freertos|lora|arduino|mqtt,average,51.2
CCS,synthetic,18,3,1,Web Development|Cloud & Distributed Systems|Data Science & Analytics,Full Stack Development,65.8,Software Engineering,64.2,Computer Networks,62.8,Python,50.8,Design & Analysis of Algorithms,47.0,Serverless API Gateway,esp32|jenkins|azure|cloud,below_avg,36.8
DWM,synthetic,19,2,1,Artificial Intelligence & Machine Learning|Mobile & IoT Development,Data Structures and Algorithms,91.0,Database Management Systems,87.0,Python,85.2,Java,84.0,Engineering Mathematics-IV,83.8,Customer Analytics Platform,tableau|data warehouse|data visualization|analytics|spark|pandas,strong,72.6
CCS,synthetic,21,3,2,Cloud & Distributed Systems|Web Development|Network & Wireless Systems,Software Engineering,89.0,Full Stack Development,85.4,Operating Systems,84.6,Computer Networks,82.4,Database Management Systems,81.1,Cloud Deployment Platform,devops|docker|ci/cd|fullstack|nlp|node|kubernetes|serverless,hard_sample,69.4
DWM,synthetic,22,2,3,Data Science & Analytics|Artificial Intelligence & Machine Learning,Database Management Systems,94.7,Engineering Mathematics-IV,91.3,C++,89.7,Python,88.6,Java,85.6,Census Data Visualizer,postgresql|tableau|data warehouse|power bi|sql|data visualization|hadoop|analytics,topper,82.8
ML,synthetic,22,1,4,Artificial Intelligence & Machine Learning,Artificial Intelligence,64.9,Engineering Mathematics-IV,52.6,Software Engineering,45.9,Engineering Mathematics-III,45.8,Automata Theory,44.8,Music Genre Classifier,computer vision|data science|tensorflow|nlp|neural network|postgresql|deep learning|classification,below_avg,38.2
CCS,synthetic,21,1,3,Cloud & Distributed Systems,Full Stack Development,99.4,Computer Networks,98.2,Python,92.2,Software Engineering,90.4,Database Management Systems,88.3,CI/CD Pipeline Builder,devops|node|react|terraform|microservices|rest api|azure|aws,topper,82.7
WT,synthetic,19,2,3,Network & Wireless Systems|Cloud & Distributed Systems,Operating Systems,38.1,Computer Networks,28.7,Software Engineering,25.7,IoT,24.2,Microcontroller & Embedded Systems,24.0,IoT Security Monitor,rfid|embedded|raspberry pi|freertos|arduino|lora|mqtt|esp32,failing,6.4
ML,synthetic,21,3,3,Artificial Intelligence & Machine Learning|Data Science & Analytics|Cloud & Distributed Systems,C++,63.3,Data Structures and Algorithms,63.0,Artificial Intelligence,56.3,Engineering Mathematics-IV,54.5,Database Management Systems,50.6,Handwriting Recognizer,keras|ci/cd|sklearn|data science|tensorflow|nlp|nginx|classification,hard_sample,41.8
CCS,synthetic,19,3,2,Cloud & Distributed Systems|Web Development|Network & Wireless Systems,Design & Analysis of Algorithms,74.4,Operating Systems,69.1,Full Stack Development,64.9,Database Management Systems,63.9,C++,58.0,Task Management System,devops|ci/cd|kubernetes|azure|aws|esp32|cloud,average,51.5
WT,synthetic,20,3,1,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,63.3,IoT,62.5,Digital Logic & Design,59.8,Design & Analysis of Algorithms,56.8,C++,55.6,RFID Attendance System,raspberry pi|iot|data warehouse|freertos|mqtt|zigbee|esp32,average,44.6
WT,synthetic,22,3,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,90.0,Microcontroller & Embedded Systems,80.2,Software Engineering,79.9,IoT,79.8,C++,79.7,Industrial IoT Gateway,rfid|embedded|zigbee|raspberry pi|sensor|freertos|arduino|mqtt,strong,67.9
ML,synthetic,18,2,3,Artificial Intelligence & Machine Learning|Web Development,Python,93.2,Engineering Mathematics-III,92.5,C++,91.5,Engineering Mathematics-IV,89.9,Artificial Intelligence,87.3,Recommendation Engine,computer vision|keras|sklearn|tensorflow|data science|neural network|regression|pytorch,strong,77.3
ML,synthetic,19,2,4,Artificial Intelligence & Machine Learning|Web Development,Engineering Mathematics-III,88.8,Artificial Intelligence,86.8,Python,83.2,Java,82.2,Engineering Mathematics-IV,80.1,Language Translator,data science|tensorflow|nlp|neural network|sklearn|classification|opencv|python,strong,72.5
CCS,synthetic,19,2,2,Cloud & Distributed Systems|Web Development,Full Stack Development,48.3,Computer Networks,46.5,Data Structures and Algorithms,44.9,Design & Analysis of Algorithms,40.4,Microcontroller & Embedded Systems,36.1,Blog Platform with CMS,devops|ci/cd|fullstack|node|serverless|kubernetes|cloud|jenkins,struggling,26.8
WT,synthetic,18,3,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,90.5,IoT,69.5,Digital Logic & Design,69.3,Microcontroller & Embedded Systems,66.3,Operating Systems,64.7,Wireless Sensor Network,rfid|embedded|zigbee|raspberry pi|iot|sensor|arduino|mqtt,above_avg,57.8
CCS,synthetic,22,1,2,Web Development,Software Engineering,64.5,Computer Networks,63.0,Python,51.6,Full Stack Development,51.3,Operating Systems,44.0,Task Management System,devops|ci/cd|docker|react|serverless|sql|jenkins|terraform,below_avg,33.8
CCS,synthetic,21,2,3,Web Development|Cloud & Distributed Systems,Computer Networks,100.0,Software Engineering,100.0,Full Stack Development,100.0,Data Structures and Algorithms,99.1,Operating Systems,98.5,REST API Service,devops|rest api|ci/cd|docker|fullstack|node|kubernetes|react,topper,86.6
ML,synthetic,22,3,1,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Engineering Mathematics-III,80.0,Artificial Intelligence,77.1,Design & Analysis of Algorithms,73.3,Automata Theory,72.3,Python,71.0,Speech Recognition,computer vision|python|data science,above_avg,63.2
ML,synthetic,19,3,2,Artificial Intelligence & Machine Learning|Data Science & Analytics|Network & Wireless Systems,Cryptography & Network Security,65.8,Automata Theory,62.4,Java,62.2,Engineering Mathematics-IV,61.1,Full Stack Development,51.7,Handwriting Recognizer,nlp|neural network|opencv|keras|matplotlib,hard_sample,48.8
WT,synthetic,22,2,3,Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,91.1,Microcontroller & Embedded Systems,65.4,Operating Systems,60.4,Software Engineering,60.0,Engineering Mathematics-IV,58.2,Health Monitoring Wearable,rfid|raspberry pi|iot|freertos|lora|data visualization|arduino|mqtt,inconsistent,42.9
CCS,synthetic,21,4,3,Data Science & Analytics|Cloud & Distributed Systems|Web Development|Network & Wireless Systems,Database Management Systems,86.7,Software Engineering,73.5,Python,72.9,Automata Theory,65.0,Operating Systems,64.4,REST API Service,devops|node|react|kubernetes|serverless|power bi|data visualization|mongodb,hard_sample,49.9
ML,synthetic,22,3,3,Artificial Intelligence & Machine Learning|Data Science & Analytics|Cloud & Distributed Systems,Engineering Mathematics-III,100.0,Python,100.0,Artificial Intelligence,100.0,Data Structures and Algorithms,99.6,Cryptography & Network Security,98.8,Spam Filter,keras|data science|tensorflow|sklearn|neural network|regression|power bi|classification,topper,92.7
CCS,synthetic,20,2,2,Web Development|Cloud & Distributed Systems,Full Stack Development,66.2,C++,45.1,Software Engineering,41.8,Database Management Systems,40.5,Data Structures and Algorithms,33.8,REST API Service,ci/cd|docker|fullstack|data warehouse|react|serverless|numpy|nginx,struggling,31.0
CCS,synthetic,20,3,4,Web Development|Cloud & Distributed Systems|Data Science & Analytics,Full Stack Development,63.9,Software Engineering,49.5,Operating Systems,38.3,C++,37.8,Computer Networks,37.3,Online Learning Platform,devops|docker|ci/cd|nginx|fullstack|tableau|node|serverless,below_avg,33.9
WT,synthetic,19,2,3,Mobile & IoT Development|Network & Wireless Systems,Computer Networks,53.5,Microcontroller & Embedded Systems,46.8,IoT,36.8,Database Management Systems,24.6,Cryptography & Network Security,24.5,Smart Agriculture,embedded|raspberry pi|sensor|freertos|arduino|mqtt|deep learning|lora,struggling,19.4
ML,synthetic,21,2,2,Artificial Intelligence & Machine Learning|Cloud & Distributed Systems,Engineering Mathematics-III,58.4,Artificial Intelligence,57.1,Python,49.6,Database Management Systems,49.1,Microcontroller & Embedded Systems,45.1,Recommendation Engine,tensorflow|nlp|pytorch|opencv|numpy|keras|esp32,below_avg,34.0
ML,synthetic,22,2,4,Artificial Intelligence & Machine Learning|Data Science & Analytics,Engineering Mathematics-III,100.0,Engineering Mathematics-IV,100.0,Data Structures and Algorithms,100.0,Python,100.0,Java,100.0,Fraud Detection System,keras|sklearn|tensorflow|data science|neural network|zigbee|regression|pytorch,topper,96.6
WT,synthetic,21,3,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Operating Systems,82.7,Data Structures and Algorithms,79.9,Software Engineering,78.6,Microcontroller & Embedded Systems,75.2,C++,74.1,LoRa Communication System,embedded|raspberry pi|node|freertos|lora|mqtt|azure|esp32,hard_sample,67.8
DWM,synthetic,22,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Database Management Systems,55.8,Digital Logic & Design,54.8,Python,53.6,Data Structures and Algorithms,49.2,Engineering Mathematics-III,48.3,Academic Performance Dashboard,mongodb|mysql|mqtt|hadoop|spark|pandas,average,43.0
DWM,synthetic,20,2,3,Data Science & Analytics|Artificial Intelligence & Machine Learning,Database Management Systems,60.2,Data Structures and Algorithms,58.1,C++,55.3,Cryptography & Network Security,48.6,Operating Systems,46.7,Census Data Visualizer,postgresql|tableau|power bi|sql|mysql|data visualization|data mining|analytics,average,42.9
CCS,synthetic,22,1,2,Cloud & Distributed Systems,Full Stack Development,95.9,Java,94.1,Python,88.4,Operating Systems,84.5,Computer Networks,81.9,Portfolio Website Builder,devops|ci/cd|fullstack|node|react|serverless|kubernetes|rest api,strong,74.8
CCS,synthetic,20,4,1,Cloud & Distributed Systems|Web Development|Network & Wireless Systems|Artificial Intelligence & Machine Learning,Full Stack Development,95.8,Java,85.1,Python,78.4,Database Management Systems,75.1,Operating Systems,73.2,Portfolio Website Builder,devops|microservices|jenkins|deep learning,hard_sample,63.6
WT,synthetic,22,2,3,Network & Wireless Systems|Mobile & IoT Development,Computer Networks,70.2,IoT,58.3,Operating Systems,55.8,Cryptography & Network Security,48.5,Engineering Mathematics-IV,47.1,Weather Station,embedded|raspberry pi|iot|sensor|freertos|lora|esp32|bluetooth,below_avg,35.3
WT,synthetic,19,2,3,Mobile & IoT Development|Network & Wireless Systems,Computer Networks,100.0,C++,96.9,Java,93.2,Digital Logic & Design,92.2,Microcontroller & Embedded Systems,91.4,Smart Streetlight System,rfid|raspberry pi|iot|sensor|lora|mqtt|arduino|gpio,topper,81.0
DWM,synthetic,20,2,4,Artificial Intelligence & Machine Learning|Data Science & Analytics,Data Structures and Algorithms,85.6,C++,73.6,Artificial Intelligence,64.8,Engineering Mathematics-III,63.6,Database Management Systems,61.5,Sales Dashboard,postgresql|tableau|data warehouse|power bi|mongodb|sql|mysql|data visualization,average,52.3
ML,synthetic,20,2,4,Data Science & Analytics|Cloud & Distributed Systems,Design & Analysis of Algorithms,65.6,Data Structures and Algorithms,63.9,Artificial Intelligence,62.9,Python,62.8,Java,61.2,Sentiment Analysis Tool,sklearn|tensorflow|nlp|regression|pytorch|machine learning|classification|python,average,48.0
ML,synthetic,21,2,2,Data Science & Analytics|Cloud & Distributed Systems,Engineering Mathematics-IV,87.3,Python,85.4,Database Management Systems,82.0,Artificial Intelligence,81.9,Automata Theory,81.1,Object Detection App,keras|sklearn|tensorflow|nlp|power bi|classification|pytorch|opencv,strong,73.1
DWM,synthetic,19,3,3,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Data Structures and Algorithms,98.0,Database Management Systems,96.0,Python,91.1,Design & Analysis of Algorithms,82.9,Automata Theory,81.4,Crime Data Analysis,tableau|data warehouse|power bi|mongodb|sql|data visualization|terraform|jenkins,strong,74.6
DWM,synthetic,18,1,1,Artificial Intelligence & Machine Learning,Data Structures and Algorithms,100.0,Database Management Systems,100.0,Python,96.4,Java,93.2,Artificial Intelligence,93.1,Sales Dashboard,data warehouse|sql|hadoop|analytics|etl|pandas,topper,82.6
DWM,synthetic,18,4,2,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development|Cloud & Distributed Systems,Database Management Systems,81.6,Data Structures and Algorithms,79.3,Cryptography & Network Security,75.8,Full Stack Development,73.0,Engineering Mathematics-III,72.0,Survey Data Analyzer,tableau|power bi|mysql|data mining|spark|etl,strong,70.1
DWM,synthetic,21,3,1,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Python,75.9,Engineering Mathematics-IV,71.5,Database Management Systems,69.6,Artificial Intelligence,67.8,Java,65.4,Sales Dashboard,tableau|mongodb|power bi|data visualization|analytics|spark|pandas,above_avg,56.3
CCS,synthetic,22,3,2,Web Development|Cloud & Distributed Systems|Network & Wireless Systems,Full Stack Development,81.5,Data Structures and Algorithms,79.1,Python,75.6,Operating Systems,75.3,Software Engineering,73.3,Kubernetes Cluster Monitor,devops|docker|ci/cd|node|react|kubernetes|serverless|aws,strong,66.0
DWM,synthetic,19,2,3,Data Science & Analytics|Artificial Intelligence & Machine Learning,Engineering Mathematics-III,18.1,Artificial Intelligence,16.5,Data Structures and Algorithms,13.4,Database Management Systems,13.3,Digital Logic & Design,7.0,Customer Analytics Platform,postgresql|tableau|data warehouse|mongodb|power bi|sql|sensor|data visualization,failing,5.2
DWM,synthetic,21,1,3,Data Science & Analytics,Database Management Systems,79.5,Digital Logic & Design,67.0,Python,64.5,C++,62.8,Cryptography & Network Security,62.8,Crime Data Analysis,tableau|mongodb|power bi|sql|analytics|data pipeline|etl|pandas,improving,52.1
CCS,synthetic,18,1,1,Cloud & Distributed Systems,Computer Networks,85.6,Full Stack Development,84.3,Design & Analysis of Algorithms,79.5,Software Engineering,79.4,Digital Logic & Design,78.8,Serverless API Gateway,ci/cd|nginx|node|kubernetes|jenkins|data pipeline|rest api,above_avg,66.1
CCS,synthetic,20,3,2,Web Development|Cloud & Distributed Systems|Data Science & Analytics,Computer Networks,100.0,Full Stack Development,100.0,Python,98.5,Software Engineering,95.4,Data Structures and Algorithms,92.7,REST API Service,ci/cd|react|terraform|jenkins|microservices|deep learning|cloud,topper,88.3
WT,synthetic,18,3,1,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Microcontroller & Embedded Systems,76.4,Automata Theory,67.9,C++,65.5,Software Engineering,64.7,Design & Analysis of Algorithms,64.4,Industrial IoT Gateway,raspberry pi|arduino|wireless|i2c|gpio|microcontroller|esp32,average,54.7
DWM,synthetic,22,2,3,Data Science & Analytics|Web Development,Database Management Systems,80.6,Java,78.1,Design & Analysis of Algorithms,76.6,Computer Networks,74.9,Automata Theory,66.8,Academic Performance Dashboard,postgresql|data science|fullstack|tableau|sql|mysql|data visualization|hadoop,above_avg,61.8
DWM,synthetic,22,3,2,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Database Management Systems,98.5,Engineering Mathematics-III,96.1,Data Structures and Algorithms,90.9,Engineering Mathematics-IV,90.3,Java,88.2,Sales Dashboard,tableau|data warehouse|power bi|python|hadoop|analytics|data pipeline|etl,strong,78.1
CCS,synthetic,18,3,3,Web Development|Cloud & Distributed Systems|Data Science & Analytics,Full Stack Development,62.3,Java,53.3,Python,48.4,Software Engineering,46.3,Database Management Systems,41.2,Containerized Microservices App,rest api|docker|fullstack|pandas|react|kubernetes|microservices|nginx,below_avg,31.8
WT,synthetic,21,3,4,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Microcontroller & Embedded Systems,76.3,Automata Theory,62.1,Operating Systems,61.6,IoT,60.9,Java,57.8,Industrial IoT Gateway,rfid|embedded|raspberry pi|iot|sensor|freertos|arduino|lora,average,50.5
WT,synthetic,19,3,2,Mobile & IoT Development|Web Development|Network & Wireless Systems,Engineering Mathematics-III,76.2,IoT,70.3,Digital Logic & Design,58.1,Java,56.8,Data Structures and Algorithms,55.8,Industrial IoT Gateway,embedded|zigbee|iot|freertos|arduino|bluetooth|esp32,hard_sample,47.3
ML,synthetic,20,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Engineering Mathematics-III,100.0,Engineering Mathematics-IV,94.1,Python,90.8,Database Management Systems,86.8,Artificial Intelligence,86.8,Text Summarizer,docker|tensorflow|keras|deep learning|pandas,strong,78.2
CCS,synthetic,22,3,2,Cloud & Distributed Systems|Web Development|Data Science & Analytics,C++,32.0,Full Stack Development,26.6,Engineering Mathematics-IV,17.8,Python,17.1,Automata Theory,16.6,Online Learning Platform,devops|ci/cd|fullstack|aws|jenkins|microservices|rest api|azure,failing,10.5
WT,synthetic,18,2,3,Data Science & Analytics|Network & Wireless Systems,Digital Logic & Design,85.3,Operating Systems,78.1,IoT,67.0,Python,58.5,Microcontroller & Embedded Systems,56.1,Smart Home System,iot|analytics|i2c|gpio|wireless|sklearn|nlp|regression,hard_sample,47.9
ML,synthetic,20,2,2,Artificial Intelligence & Machine Learning|Cloud & Distributed Systems,Engineering Mathematics-III,87.0,Artificial Intelligence,76.9,Automata Theory,60.9,Data Structures and Algorithms,54.1,Software Engineering,49.1,Handwriting Recognizer,devops|keras|sklearn|nlp|regression|classification|opencv|jupyter,hard_sample,48.6
DWM,synthetic,20,3,2,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Engineering Mathematics-III,57.7,Java,55.2,Database Management Systems,52.0,Design & Analysis of Algorithms,46.3,Software Engineering,40.5,Clickstream Analyzer,postgresql|data warehouse|sql|hadoop|analytics|spark|data pipeline|pandas,below_avg,39.7
ML,synthetic,21,3,1,Artificial Intelligence & Machine Learning|Data Science & Analytics|Cloud & Distributed Systems,Database Management Systems,49.7,C++,48.8,Engineering Mathematics-III,47.9,Digital Logic & Design,43.4,Engineering Mathematics-IV,41.9,Fraud Detection System,machine learning|matplotlib|tensorflow,below_avg,36.0
WT,synthetic,18,3,1,Mobile & IoT Development|Network & Wireless Systems|Artificial Intelligence & Machine Learning,Digital Logic & Design,67.5,Automata Theory,63.9,C++,62.6,Computer Networks,61.5,Cryptography & Network Security,58.4,Health Monitoring Wearable,freertos|arduino|zigbee|gpio|microcontroller|esp32,hard_sample,49.1
DWM,synthetic,20,3,2,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Data Structures and Algorithms,98.3,Database Management Systems,89.6,Engineering Mathematics-IV,85.5,Software Engineering,83.1,Engineering Mathematics-III,81.2,Log Analysis System,postgresql|tableau|data warehouse|mongodb|power bi|data visualization|hadoop|analytics,strong,78.1
ML,synthetic,19,3,3,Artificial Intelligence & Machine Learning|Data Science & Analytics|Mobile & IoT Development,Engineering Mathematics-III,70.4,Engineering Mathematics-IV,68.2,Data Structures and Algorithms,65.2,Artificial Intelligence,64.2,Design & Analysis of Algorithms,61.4,Music Genre Classifier,computer vision|sklearn|tensorflow|numpy|data science|neural network|lora|machine learning,above_avg,55.2
CCS,synthetic,22,1,3,Cloud & Distributed Systems,Computer Networks,46.5,Software Engineering,45.2,Python,38.0,Design & Analysis of Algorithms,27.1,Full Stack Development,26.3,CI/CD Pipeline Builder,devops|rest api|docker|ci/cd|fullstack|node|react|serverless,failing,19.7
WT,synthetic,18,2,1,Mobile & IoT Development|Network & Wireless Systems,IoT,77.4,Java,76.8,Computer Networks,74.7,Engineering Mathematics-IV,73.9,Microcontroller & Embedded Systems,67.5,Smart Home System,rfid|raspberry pi|sensor|freertos|mqtt|zigbee,above_avg,60.5
CCS,synthetic,19,3,1,Cloud & Distributed Systems|Web Development|Data Science & Analytics,Python,98.8,Operating Systems,97.3,Full Stack Development,96.3,Software Engineering,92.8,Database Management Systems,89.9,Kubernetes Cluster Monitor,devops|react|kubernetes|classification|azure|aws,topper,81.7
CCS,synthetic,19,1,3,Web Development,Digital Logic & Design,32.3,Data Structures and Algorithms,29.8,Full Stack Development,26.5,Operating Systems,25.9,Java,25.5,Full Stack E-Commerce Site,devops|ci/cd|nginx|fullstack|data warehouse|serverless|node|cloud,struggling,20.5
WT,synthetic,21,2,2,Mobile & IoT Development|Network & Wireless Systems,Java,41.6,Design & Analysis of Algorithms,38.4,IoT,37.4,Digital Logic & Design,37.0,Engineering Mathematics-III,35.9,GPS Tracker,rfid|embedded|sql|freertos|lora|i2c|microcontroller|esp32,struggling,19.7
ML,synthetic,20,3,2,Artificial Intelligence & Machine Learning|Data Science & Analytics|Cloud & Distributed Systems,Cryptography & Network Security,45.4,Engineering Mathematics-III,34.1,C++,29.5,Artificial Intelligence,25.9,Database Management Systems,25.4,Customer Churn Predictor,nlp|neural network|tableau|react|classification|opencv|python|jupyter,failing,8.5
CCS,synthetic,20,3,2,Mobile & IoT Development|Web Development|Network & Wireless Systems,Software Engineering,67.7,Database Management Systems,66.4,Full Stack Development,62.3,Computer Networks,59.3,Cryptography & Network Security,57.9,Task Management System,devops|docker|fullstack|node|react|serverless|rest api|cloud,hard_sample,44.4
CCS,synthetic,19,3,1,Cloud & Distributed Systems|Web Development|Mobile & IoT Development,Full Stack Development,69.6,Software Engineering,65.6,Python,63.6,C++,59.1,Engineering Mathematics-IV,58.9,REST API Service,fullstack|node|kubernetes|serverless|classification|microservices|azure,average,52.0
CCS,synthetic,22,2,3,Web Development|Cloud & Distributed Systems,Full Stack Development,99.1,Software Engineering,89.9,Python,87.6,Computer Networks,86.1,Engineering Mathematics-IV,83.4,Cloud File Storage,devops|rest api|ci/cd|docker|iot|node|react|serverless,strong,77.0
ML,synthetic,19,2,3,Artificial Intelligence & Machine Learning|Data Science & Analytics,Artificial Intelligence,59.0,Engineering Mathematics-IV,52.6,Engineering Mathematics-III,51.8,Python,42.5,Software Engineering,42.4,Chatbot System,computer vision|ci/cd|embedded|sklearn|tensorflow|regression|power bi|deep learning,below_avg,32.4
WT,synthetic,19,2,1,Mobile & IoT Development|Network & Wireless Systems,IoT,85.1,Microcontroller & Embedded Systems,71.1,Engineering Mathematics-IV,67.7,Operating Systems,66.9,Digital Logic & Design,65.9,Smart Streetlight System,iot|mqtt|zigbee|gpio|microcontroller|i2c,hard_sample,54.0
WT,synthetic,19,4,1,Mobile & IoT Development|Web Development|Network & Wireless Systems|Cloud & Distributed Systems,Engineering Mathematics-IV,76.3,Computer Networks,73.9,Digital Logic & Design,66.6,Microcontroller & Embedded Systems,57.9,Full Stack Development,56.4,Health Monitoring Wearable,rfid|gpio|wireless,hard_sample,48.4
CCS,synthetic,22,2,3,Web Development|Cloud & Distributed Systems,Operating Systems,100.0,Computer Networks,100.0,Software Engineering,100.0,Python,100.0,Design & Analysis of Algorithms,100.0,Task Management System,ci/cd|docker|tensorflow|fullstack|node|react|kubernetes|aws,topper,93.9
DWM,synthetic,20,4,1,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development|Cloud & Distributed Systems,Engineering Mathematics-IV,99.8,Python,94.1,Data Structures and Algorithms,92.5,Database Management Systems,88.4,Automata Theory,88.0,Census Data Visualizer,rfid|spark|data pipeline|etl|pandas,strong,80.0
CCS,synthetic,18,3,1,Web Development|Cloud & Distributed Systems|Data Science & Analytics,Full Stack Development,73.8,Database Management Systems,72.9,Software Engineering,72.2,Computer Networks,70.1,Data Structures and Algorithms,68.8,Serverless API Gateway,devops|docker|node|serverless|analytics|microservices|rest api,average,53.3
CCS,synthetic,21,3,2,Web Development|Cloud & Distributed Systems|Network & Wireless Systems,Computer Networks,87.3,Engineering Mathematics-IV,83.4,Full Stack Development,82.6,Database Management Systems,76.7,Automata Theory,76.0,Serverless API Gateway,devops|docker|node|react|serverless|kubernetes|aws|terraform,strong,67.7
DWM,synthetic,19,4,2,Artificial Intelligence & Machine Learning|Data Science & Analytics|Network & Wireless Systems|Web Development,Database Management Systems,88.9,Cryptography & Network Security,76.9,Engineering Mathematics-III,74.7,Full Stack Development,74.0,Python,72.7,Financial Data Mining Tool,postgresql|tableau|mongodb|data warehouse|sql|data visualization|hadoop|analytics,hard_sample,67.2
WT,synthetic,18,3,4,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,IoT,77.7,Microcontroller & Embedded Systems,76.1,Design & Analysis of Algorithms,72.0,Operating Systems,69.6,Computer Networks,69.4,Remote Water Quality Monitor,rfid|embedded|zigbee|raspberry pi|sensor|bluetooth|wireless|i2c,average,54.7
ML,synthetic,18,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Python,66.4,Design & Analysis of Algorithms,61.4,Engineering Mathematics-III,60.3,Engineering Mathematics-IV,60.2,Software Engineering,55.4,Object Detection App,sklearn|nlp|neural network|regression|classification|numpy|deep learning|matplotlib,average,44.2
CCS,synthetic,22,2,4,Cloud & Distributed Systems|Web Development,Full Stack Development,66.8,Operating Systems,57.4,C++,55.9,Automata Theory,49.9,Java,48.7,Cloud File Storage,devops|ci/cd|fullstack|node|serverless|react|cloud|jenkins,below_avg,36.1
CCS,synthetic,22,2,1,Cloud & Distributed Systems|Web Development,Full Stack Development,99.2,Operating Systems,90.5,Software Engineering,90.0,Computer Networks,89.6,Data Structures and Algorithms,85.9,Blog Platform with CMS,devops|node|serverless|jenkins|terraform|microservices|azure|aws,topper,81.2
CCS,synthetic,19,3,2,Web Development|Cloud & Distributed Systems|Data Science & Analytics,Software Engineering,69.2,Python,64.5,C++,62.3,Computer Networks,60.6,Operating Systems,57.9,REST API Service,nginx|fullstack|serverless|kubernetes|cloud|microservices|rest api|azure,average,51.2
CCS,synthetic,19,2,2,Cloud & Distributed Systems|Web Development,Full Stack Development,84.5,Python,70.1,Engineering Mathematics-IV,69.6,Software Engineering,69.4,Database Management Systems,69.1,Kubernetes Cluster Monitor,docker|ci/cd|fullstack|node|kubernetes|cloud|terraform|rest api,above_avg,58.9
ML,synthetic,22,2,3,Artificial Intelligence & Machine Learning|Data Science & Analytics,Engineering Mathematics-III,87.7,Artificial Intelligence,85.1,Java,83.2,Software Engineering,78.3,Database Management Systems,77.7,Music Genre Classifier,data science|numpy|sklearn|neural network|regression|pytorch|classification|opencv,strong,73.6
DWM,synthetic,19,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,Database Management Systems,75.7,Cryptography & Network Security,66.7,Python,65.5,Digital Logic & Design,59.7,Engineering Mathematics-IV,56.8,Crime Data Analysis,postgresql|tableau|power bi|mysql|data mining|analytics|etl|pandas,average,48.9
CCS,synthetic,21,1,3,Cloud & Distributed Systems,Data Structures and Algorithms,48.7,Full Stack Development,48.0,Engineering Mathematics-IV,46.0,Database Management Systems,42.7,Java,40.6,Service Mesh Dashboard,devops|ci/cd|fullstack|node|react|data warehouse|serverless|terraform,below_avg,32.4
WT,synthetic,19,3,3,Mobile & IoT Development|Cloud & Distributed Systems|Web Development,Computer Networks,100.0,IoT,100.0,Microcontroller & Embedded Systems,97.0,Operating Systems,94.6,Engineering Mathematics-IV,88.6,Wireless Sensor Network,rfid|embedded|zigbee|raspberry pi|iot|sensor|freertos|arduino,strong,77.6
ML,synthetic,20,1,3,Artificial Intelligence & Machine Learning,Artificial Intelligence,93.4,Operating Systems,83.7,Python,83.3,Engineering Mathematics-III,81.7,C++,79.1,Customer Churn Predictor,keras|sklearn|nlp|neural network|regression|pytorch|jupyter|numpy,strong,70.7
ML,synthetic,20,1,2,Artificial Intelligence & Machine Learning,Artificial Intelligence,43.1,Design & Analysis of Algorithms,39.2,Database Management Systems,38.9,Python,35.3,Software Engineering,32.4,Chatbot System,sklearn|tensorflow|data science|neural network|regression|pytorch|numpy|etl,struggling,21.7
